experiment_id,model,model_short,sparsity,cal_nsamples,cal_tokens,pca_type,status,perplexity,compress_time_s,eval_time_s,total_time_s,model_load_time_s,num_layers,hidden_size,sliced_dim,original_params,sliced_params,shortcut_params,shortcut_memory_mb,attn_shortcuts,mlp_shortcuts,gpu_peak_mb,timestamp_start,timestamp_end,error
opt-125m_s20_n128_per-layer,facebook/opt-125m,opt-125m,0.2,128,262144,per-layer,success,34.523658752441406,30.947129011154175,4.0599000453948975,43.018725633621216,2.0192766189575195,12,768,608,163860064,147250880,8969216,17.107421875,12,12,6586.13818359375,2025-12-12T15:21:46.314764,2025-12-12T15:22:29.471273,
opt-125m_s20_n128_global,facebook/opt-125m,opt-125m,0.2,128,262144,global,success,37.58274841308594,14.614784717559814,4.027927398681641,26.522341012954712,2.0731918811798096,12,768,608,163860064,138748608,466944,0.890625,0,1,6586.13818359375,2025-12-12T15:22:31.524580,2025-12-12T15:22:58.191654,
opt-125m_s20_n256_per-layer,facebook/opt-125m,opt-125m,0.2,256,524288,per-layer,success,34.41524124145508,54.81319308280945,4.062499284744263,67.18322896957397,2.232065200805664,12,768,608,163860064,147250880,8969216,17.107421875,12,12,6586.13818359375,2025-12-12T15:23:00.245113,2025-12-12T15:24:07.582776,
opt-125m_s20_n256_global,facebook/opt-125m,opt-125m,0.2,256,524288,global,success,37.851806640625,25.6899151802063,4.02393651008606,39.03608560562134,2.2717835903167725,12,768,608,163860064,138748608,466944,0.890625,0,1,6586.13818359375,2025-12-12T15:24:09.631436,2025-12-12T15:24:48.822024,
opt-125m_s25_n16_per-layer,facebook/opt-125m,opt-125m,0.25,16,32768,per-layer,success,39.88292694091797,9.009968280792236,4.035016775131226,21.200007915496826,2.3990113735198975,12,768,576,163860064,141239200,8073216,15.3984375,12,12,6586.13818359375,2025-12-12T15:24:50.873784,2025-12-12T15:25:12.220803,
opt-125m_s25_n16_global,facebook/opt-125m,opt-125m,0.25,16,32768,global,success,43.06345748901367,4.672729969024658,4.0059425830841064,16.69481134414673,2.3485865592956543,12,768,576,163860064,133608352,442368,0.84375,0,1,6586.13818359375,2025-12-12T15:25:14.274690,2025-12-12T15:25:31.114094,
opt-125m_s25_n32_per-layer,facebook/opt-125m,opt-125m,0.25,32,65536,per-layer,success,38.75564193725586,11.890106439590454,4.03437352180481,24.201363563537598,2.6180286407470703,12,768,576,163860064,141239200,8073216,15.3984375,12,12,6586.13818359375,2025-12-12T15:25:33.161563,2025-12-12T15:25:57.513950,
opt-125m_s25_n32_global,facebook/opt-125m,opt-125m,0.25,32,65536,global,success,41.99892044067383,6.090927362442017,4.005174160003662,17.993236303329468,2.2228288650512695,12,768,576,163860064,133608352,442368,0.84375,0,1,6586.13818359375,2025-12-12T15:25:59.573447,2025-12-12T15:26:17.726380,
opt-125m_s25_n64_per-layer,facebook/opt-125m,opt-125m,0.25,64,131072,per-layer,success,38.429481506347656,18.35543179512024,4.034882068634033,30.757790327072144,2.385093927383423,12,768,576,163860064,141239200,8073216,15.3984375,12,12,6586.13818359375,2025-12-12T15:26:19.774444,2025-12-12T15:26:50.667502,
opt-125m_s25_n64_global,facebook/opt-125m,opt-125m,0.25,64,131072,global,success,42.82979965209961,8.803000211715698,4.005444049835205,21.109140157699585,2.098721742630005,12,768,576,163860064,133608352,442368,0.84375,0,1,6586.13818359375,2025-12-12T15:26:52.726910,2025-12-12T15:27:13.980344,
opt-125m_s25_n128_per-layer,facebook/opt-125m,opt-125m,0.25,128,262144,per-layer,success,38.1325569152832,30.41933560371399,4.033823251724243,43.18526864051819,2.4281423091888428,12,768,576,163860064,141239200,8073216,15.3984375,12,12,6586.13818359375,2025-12-12T15:27:16.058725,2025-12-12T15:27:59.389794,
opt-125m_s25_n128_global,facebook/opt-125m,opt-125m,0.25,128,262144,global,success,43.004722595214844,14.456410646438599,4.0053887367248535,26.51813006401062,2.2241554260253906,12,768,576,163860064,133608352,442368,0.84375,0,1,6586.13818359375,2025-12-12T15:28:01.437526,2025-12-12T15:28:28.102934,
