model,model_short,sparsity,pca_type,status,original_params,sliced_params,compress_time_s,total_shortcut_params,shortcut_memory_mb,attn_shortcuts,mlp_shortcuts,prefill_median_ms,prefill_std_ms,prefill_tokens_per_sec,decode_median_ms,decode_std_ms,decode_tokens_per_sec,num_layers,hidden_size,sliced_dim,gpu_peak_mb,timestamp_start,timestamp_end,error
facebook/opt-125m,opt-125m,0.1,per-layer,success,125239296,162486160,31.988483667373657,11415296,21.77294921875,12,12,3.0037449905648828,0.06845711709718914,42613.47098440883,2.798754023388028,1.3308648077945955,357.30185348316223,12,768,688,6529.234375,2025-12-13T12:14:41.941080,2025-12-13T12:15:25.633336,
facebook/opt-125m,opt-125m,0.1,global,success,125239296,151599248,14.723254203796387,528384,1.0078125,0,1,2.8468960081227124,0.09966104057395606,44961.24889521525,2.655451011378318,0.09351660032672027,376.5838630481636,12,768,688,6586.13818359375,2025-12-13T12:15:27.683612,2025-12-13T12:15:51.162552,
facebook/opt-125m,opt-125m,0.2,per-layer,success,125239296,147250880,30.894980430603027,8969216,17.107421875,12,12,2.9778644675388932,0.10498845854799543,42983.82327177831,2.806823991704732,0.16665197522656203,356.2745661841971,12,768,608,6586.13818359375,2025-12-13T12:15:53.222000,2025-12-13T12:16:32.325511,
facebook/opt-125m,opt-125m,0.2,global,success,125239296,138748608,14.57875919342041,466944,0.890625,0,1,2.8295174706727266,0.09833122658245991,45237.395183698085,2.597542479634285,0.0760336120314981,384.9792670727728,12,768,608,6586.13818359375,2025-12-13T12:16:34.392956,2025-12-13T12:16:56.788762,
facebook/opt-125m,opt-125m,0.25,per-layer,success,125239296,141239200,30.058966636657715,8073216,15.3984375,12,12,2.9429204878397286,0.06941531193823561,43494.2094184676,2.783345989882946,0.04449317122147502,359.27980338587196,12,768,576,6586.13818359375,2025-12-13T12:16:58.848533,2025-12-13T12:17:37.381829,
facebook/opt-125m,opt-125m,0.25,global,success,125239296,133608352,14.426991939544678,442368,0.84375,0,1,2.823898976203054,0.08413874664168491,45327.40054748902,2.5538645568303764,0.02265738945945312,391.56344345884526,12,768,576,6586.13818359375,2025-12-13T12:17:39.430154,2025-12-13T12:18:02.259887,
facebook/opt-125m,opt-125m,0.3,per-layer,success,125239296,133790840,30.131981134414673,7019456,13.3885498046875,12,12,2.9661885346286,0.07842351448669974,43153.022306462066,2.774516469798982,0.02246892656585291,360.42316233662564,12,768,536,6586.13818359375,2025-12-13T12:18:04.318613,2025-12-13T12:18:42.878128,
facebook/opt-125m,opt-125m,0.3,global,success,125239296,127183032,14.224213361740112,411648,0.78515625,0,1,2.8083124780096114,0.08748464035953614,45578.97349468741,2.550657547544688,0.024019083462520557,392.0557665464026,12,768,536,6586.13818359375,2025-12-13T12:18:44.932296,2025-12-13T12:19:08.303687,
facebook/opt-1.3b,opt-1.3b,0.1,per-layer,success,1315758080,1449584016,214.06437754631042,162891520,310.69091796875,24,24,7.250367954839021,0.21134450084082088,17654.276417043162,5.983467504847795,0.04581283652617003,167.12717152550786,24,2048,1840,17270.13330078125,2025-12-13T12:19:10.357642,2025-12-13T12:22:59.756215,
facebook/opt-1.3b,opt-1.3b,0.1,global,success,1315758080,1290460816,101.83911848068237,3768320,7.1875,0,1,6.699472025502473,0.2535653598336704,19105.98320475855,5.556271993555129,0.21535712342461136,179.9767904018967,24,2048,1840,17416.16015625,2025-12-13T12:23:01.822470,2025-12-13T12:24:57.950303,
