model,model_short,sparsity,pca_type,status,original_params,sliced_params,compress_time_s,total_shortcut_params,shortcut_memory_mb,attn_shortcuts,mlp_shortcuts,prefill_median_ms,prefill_std_ms,prefill_tokens_per_sec,decode_median_ms,decode_std_ms,decode_tokens_per_sec,num_layers,hidden_size,sliced_dim,gpu_peak_mb,timestamp_start,timestamp_end,error
facebook/opt-1.3b,opt-1.3b,0.2,per-layer,success,1315758080,1283343552,210.40073823928833,128523264,245.138671875,24,24,6.744453974533826,0.23330308137451156,18978.556378813053,5.781786458101124,0.0864526871752165,172.95692382392548,24,2048,1632,17416.16015625,2025-12-13T12:25:00.004816,2025-12-13T12:28:44.259477,
facebook/opt-1.3b,opt-1.3b,0.2,global,success,1315758080,1158162624,101.66113591194153,3342336,6.375,0,1,6.265977979637682,0.21829985747355504,20427.776863556956,5.394030536990613,0.12285712162885437,185.39012583304927,24,2048,1632,17416.16015625,2025-12-13T12:28:46.353760,2025-12-13T12:30:42.341403,
facebook/opt-1.3b,opt-1.3b,0.25,per-layer,success,1315758080,1207988832,208.6858868598938,114032640,217.5,24,24,6.698338431306183,0.27975808902096805,19109.216608370123,5.55667351000011,0.056246990439262894,179.96378556349268,24,2048,1536,17416.16015625,2025-12-13T12:30:44.426258,2025-12-13T12:34:27.359841,
facebook/opt-1.3b,opt-1.3b,0.25,global,success,1315758080,1097101920,101.65567207336426,3145728,6.0,0,1,6.205364014022052,0.21322312931475665,20627.315288960115,5.253563460428268,0.09541336704613464,190.3469916243251,24,2048,1536,17416.16015625,2025-12-13T12:34:29.429579,2025-12-13T12:36:29.125298,
facebook/opt-1.3b,opt-1.3b,0.3,per-layer,success,1315758080,1127332152,207.9735643863678,99312064,189.4227294921875,24,24,6.681916012894362,0.17821465994733152,19156.18211198603,5.49264153232798,0.06730741872807731,182.0617628356613,24,2048,1432,17416.16015625,2025-12-13T12:36:31.178521,2025-12-13T12:40:12.741267,
facebook/opt-1.3b,opt-1.3b,0.3,global,success,1315758080,1030952824,101.294353723526,2932736,5.59375,0,1,6.196721980813891,0.2195065226782533,20656.08242491915,5.175665544811636,0.08323264399900883,193.21186644342842,24,2048,1432,17416.16015625,2025-12-13T12:40:14.815583,2025-12-13T12:42:10.104809,
facebook/opt-2.7b,opt-2.7b,0.1,per-layer,success,2651596800,2857891680,379.7371587753296,340328448,649.125,32,32,12.550443992950022,0.20678209630244804,10198.842373377516,9.419275564141572,0.303173298052868,106.16527706301746,32,2560,2304,17500.81298828125,2025-12-13T12:42:12.161450,2025-12-13T12:48:54.097597,
facebook/opt-2.7b,opt-2.7b,0.1,global,success,2651596800,2523461472,181.68622851371765,5898240,11.25,0,1,11.418669484555721,0.2278095377180321,11209.712320084745,8.788086008280516,0.06505539870287946,113.79042024142193,32,2560,2304,17680.1689453125,2025-12-13T12:48:56.243045,2025-12-13T12:52:20.179005,
facebook/opt-2.7b,opt-2.7b,0.2,per-layer,success,2651596800,2524599904,372.494747877121,269484032,514.0,32,32,11.1653299536556,1.8274136751137615,11464.058879701264,8.844857511576265,0.07535177416672666,113.06004632535763,32,2560,2048,17680.1689453125,2025-12-13T12:52:22.318167,2025-12-13T12:58:59.454494,
facebook/opt-2.7b,opt-2.7b,0.2,global,success,2651596800,2260358752,183.08729672431946,5242880,10.0,0,1,10.505631507840008,0.20703396068097196,12183.941527406307,8.322269946802408,0.049750384038509815,120.15952455185874,32,2560,2048,17680.1689453125,2025-12-13T12:59:01.601240,2025-12-13T13:02:25.311050,
facebook/opt-2.7b,opt-2.7b,0.25,per-layer,success,2651596800,2361050592,370.99414348602295,237158400,452.34375,32,32,10.831674502696842,0.2273756763735643,11817.194097563668,8.63573100650683,0.07764414627522574,115.79795610198168,32,2560,1920,17680.1689453125,2025-12-13T13:02:27.383450,2025-12-13T13:08:57.687267,
facebook/opt-2.7b,opt-2.7b,0.25,global,success,2651596800,2128807392,183.34847569465637,4915200,9.375,0,1,10.204144404269755,0.7330665649534684,12543.922834573032,8.104019507300109,0.05585526400290771,123.39555687140178,32,2560,1920,17680.1689453125,2025-12-13T13:08:59.849358,2025-12-13T13:12:23.836435,
facebook/opt-2.7b,opt-2.7b,0.3,per-layer,success,2651596800,2199565664,372.65789127349854,206897152,394.625,32,32,10.651895485352725,0.22648345345100304,12016.640622883602,8.467429492156953,1.912250603992712,118.09959574228056,32,2560,1792,17680.1689453125,2025-12-13T13:12:25.955475,2025-12-13T13:18:58.918380,
facebook/opt-2.7b,opt-2.7b,0.3,global,success,2651596800,1997256032,186.3162591457367,4587520,8.75,0,1,10.033800499513745,0.22601178456411558,12756.881104642562,7.958650530781597,0.07444688405575804,125.64944221791238,32,2560,1792,17680.1689453125,2025-12-13T13:19:01.000368,2025-12-13T13:22:26.778200,
facebook/opt-6.7b,opt-6.7b,0.1,per-layer,success,6658473984,7062862528,831.1633956432343,868244480,1656.044921875,32,32,22.540725010912865,0.8850105370806357,5678.610600946957,18.485274049453437,0.07921462769241734,54.09711521315354,32,4096,3680,18292.05615234375,2025-12-13T13:22:28.894239,2025-12-13T13:37:00.847933,
facebook/opt-6.7b,opt-6.7b,0.1,global,success,6658473984,6209691328,415.7633752822876,15073280,28.75,0,1,20.375739492010325,0.3547890494354353,6281.980590210774,16.437288955785334,0.04882285311066061,60.837283002683726,32,4096,3680,18568.1953125,2025-12-13T13:37:02.947619,2025-12-13T13:44:38.601198,
facebook/opt-6.7b,opt-6.7b,0.2,per-layer,success,6658473984,6226080232,828.3830659389496,687879104,1312.0252685546875,32,32,22.229268972296268,0.30541965247936254,5758.174061392793,16.859020048286766,0.0561586294060491,59.31542860355167,32,4096,3272,18568.1953125,2025-12-13T13:44:40.658421,2025-12-13T13:59:14.516151,
facebook/opt-6.7b,opt-6.7b,0.2,global,success,6658473984,5551603240,415.9023756980896,13402112,25.5625,0,1,20.067956997081637,2.0974801450095097,6378.327401170646,15.221831039525568,9.845339864089372,65.69511889886066,32,4096,3272,18568.1953125,2025-12-13T13:59:16.599877,2025-12-13T14:06:52.245248,
facebook/opt-6.7b,opt-6.7b,0.25,per-layer,success,6658473984,5823553632,822.7969861030579,607125504,1158.0,32,32,19.970236520748585,0.312563564870046,6409.538508320176,15.55879897205159,0.042782088394691976,64.27231316480848,32,4096,3072,18568.1953125,2025-12-13T14:06:54.297529,2025-12-13T14:21:16.390287,
facebook/opt-6.7b,opt-6.7b,0.25,global,success,6658473984,5229011040,415.8784122467041,12582912,24.0,0,1,17.808873497415334,0.333738504137103,7187.428223271792,14.126548543572426,3.493619407345419,70.78869951252173,32,4096,3072,18568.1953125,2025-12-13T14:21:18.483241,2025-12-13T14:28:54.224929,
facebook/opt-6.7b,opt-6.7b,0.3,per-layer,success,6658473984,5410272400,817.2152180671692,528488192,1008.01123046875,32,32,20.652931998483837,0.312129804320038,6197.667237242474,15.134388988371938,0.028958261524855658,66.07468598622121,32,4096,2864,18568.1953125,2025-12-13T14:28:56.280886,2025-12-13T14:43:13.313879,
facebook/opt-6.7b,opt-6.7b,0.3,global,success,6658473984,4893515152,415.9339771270752,11730944,22.375,0,1,18.70945456903428,0.3202731896794249,6841.46079874775,13.86518101207912,0.04468278142229776,72.12311178114561,32,4096,2864,18568.1953125,2025-12-13T14:43:15.406397,2025-12-13T14:50:50.783864,
