experiment_id,model_short,num_layers,sparsity,k_value,method,num_blocks,perplexity,status,compress_time_s,eval_time_s,total_time_s,shortcut_params,shortcut_memory_mb,attn_shortcuts,mlp_shortcuts,hidden_size,sliced_dim,total_params,total_params_mb,gpu_peak_mb,model_load_time_s,timestamp_start,timestamp_end,error
opt-125m_s25_k12,opt-125m,12,0.25,12,global,1,44.42295837402344,success,14.522420406341553,8.028288841247559,31.092230081558228,442368.0,0.84375,0.0,1.0,768,576,133608352.0,254.83770751953125,6586.13818359375,2.303168773651123,2025-12-11T13:32:01.275780,2025-12-11T13:32:32.368039,
opt-125m_s30_k1,opt-125m,12,0.3,1,per-layer,12,46.04347610473633,success,31.043785572052,8.070950508117676,47.515103340148926,7019456.0,13.3885498046875,12.0,12.0,768,536,133790840.0,255.18577575683597,6510.24951171875,2.158935546875,2025-12-11T13:32:34.578347,2025-12-11T13:33:22.093471,
opt-125m_s30_k2,opt-125m,12,0.3,2,k-block-2,6,2988.98291015625,success,14.43807888031006,8.040056705474854,31.544386863708496,1848128.0,3.5250244140625,5.0,1.0,768,536,128619512.0,245.3222503662109,6609.13818359375,2.9459173679351807,2025-12-11T13:33:24.274590,2025-12-11T13:33:55.818998,
opt-125m_s30_k3,opt-125m,12,0.3,3,k-block-3,4,839.524169921875,success,14.426213264465332,8.025954008102417,30.88777756690979,1273536.0,2.4290771484375,3.0,1.0,768,536,128044920.0,244.22630310058597,6599.63818359375,2.264918565750122,2025-12-11T13:33:58.090272,2025-12-11T13:34:28.978058,
opt-125m_s30_k4,opt-125m,12,0.3,4,k-block-4,3,467.5845642089844,success,14.437450408935549,8.023197174072266,32.8115234375,986240.0,1.881103515625,2.0,1.0,768,536,127757624.0,243.67832946777344,6595.13818359375,3.5333504676818848,2025-12-11T13:34:31.162365,2025-12-11T13:35:03.973900,
opt-125m_s30_k6,opt-125m,12,0.3,6,k-block-6,2,122.71166229248048,success,14.386509418487549,8.015522241592407,32.57364225387573,698944.0,1.3331298828125,1.0,1.0,768,536,127470328.0,243.1303558349609,6590.63818359375,3.152659177780152,2025-12-11T13:35:06.171389,2025-12-11T13:35:38.745053,
opt-125m_s30_k12,opt-125m,12,0.3,12,global,1,54.358428955078125,success,14.52896237373352,8.02863359451294,32.22532868385315,411648.0,0.78515625,0.0,1.0,768,536,127183032.0,242.58238220214844,6586.13818359375,3.901245355606079,2025-12-11T13:35:40.952071,2025-12-11T13:36:13.177421,
opt-1.3b_s10_k1,opt-1.3b,24,0.1,1,per-layer,24,15.468191146850586,success,216.52278065681455,22.874688386917114,253.8991823196411,162891520.0,310.69091796875,24.0,24.0,2048,1840,1449584016.0,2764.862091064453,17270.94580078125,2.717576026916504,2025-12-11T13:36:15.411808,2025-12-11T13:40:29.310998,
opt-1.3b_s10_k2,opt-1.3b,24,0.1,2,k-block-2,12,4918.58544921875,success,99.63110685348512,22.39916396141052,135.30836749076843,41009920.0,78.22021484375,11.0,1.0,2048,1840,1327702416.0,2532.391387939453,17768.16015625,2.31015944480896,2025-12-11T13:40:31.522106,2025-12-11T13:42:46.830496,
opt-1.3b_s10_k3,opt-1.3b,24,0.1,3,k-block-3,8,1868.57666015625,success,98.94704866409302,22.221107959747314,134.0634765625,27467520.0,52.39013671875,7.0,1.0,2048,1840,1314160016.0,2506.561309814453,17640.16015625,2.2227096557617188,2025-12-11T13:42:49.065449,2025-12-11T13:45:03.128948,
